Plasmid,gene_id,old_locus_tag,gene_biotype,Gene,synonym,product,product_kegg,note,other,protein_id,inference_coordinates,exon_number
NC_013716.1,ROD_RS12565,ROD_25381,protein_coding,raiA,NA,ribosome-associated translation inhibitor RaiA,ribosome-associated inhibitor A,NA,NA,WP_024132779.1,similar to AA sequence:RefSeq:NP_461595.1,1
NC_013716.1,ROD_RS28810,NA,protein_coding,pheL,NA,pheA operon leader peptide PheL,NA,NA,NA,WP_187375663.1,similar to AA sequence:RefSeq:NP_311488.1,1
NC_013716.1,ROD_RS12570,ROD_25391,protein_coding,pheA,NA,bifunctional chorismate mutase/prephenate dehydratase,P-protein,NA,NA,WP_012906715.1,similar to AA sequence:RefSeq:NP_311489.1,1
NC_013716.1,ROD_RS12575,ROD_25401,protein_coding,NA,NA,SMP-30/gluconolactonase/LRE family protein,conserved hypothetical protein,NA,NA,WP_012906716.1,similar to AA sequence:RefSeq:WP_015571568.1,1
NC_013716.1,ROD_RS12580,ROD_25411,protein_coding,NA,NA,NAD(P)/FAD-dependent oxidoreductase,putative exported protein,NA,NA,WP_012906717.1,similar to AA sequence:RefSeq:WP_003830119.1,1
NC_013716.1,ROD_RS12585,ROD_25421,protein_coding,NA,NA,(2Fe-2S)-binding protein,conserved hypothetical protein,NA,NA,WP_012906718.1,similar to AA sequence:RefSeq:WP_015368424.1,1
NC_013716.1,ROD_RS12590,ROD_25431,protein_coding,NA,NA,FAD-binding oxidoreductase,conserved hypothetical protein,NA,NA,WP_012906719.1,similar to AA sequence:RefSeq:WP_012542952.1,1
NC_013716.1,ROD_RS12595,ROD_25441,protein_coding,NA,NA,4-hydroxyproline epimerase,putative hydroxyproline-2-epimerase,NA,NA,WP_012906720.1,similar to AA sequence:RefSeq:WP_008786076.1,1
NC_013716.1,ROD_RS12600,ROD_25471,protein_coding,NA,NA,AraC family transcriptional regulator,putative AraC-family transcriptional regulator,NA,NA,WP_012906723.1,similar to AA sequence:RefSeq:WP_008786078.1,1
NC_013716.1,ROD_RS12605,ROD_25481,protein_coding,NA,NA,dihydrodipicolinate synthase family protein,putative dihydrodipicolinate synthetase,NA,NA,WP_012906724.1,similar to AA sequence:RefSeq:WP_020801844.1,1
NC_013716.1,ROD_RS12610,ROD_25491,protein_coding,NA,NA,aldehyde dehydrogenase (NADP(+)),putative aldehyde dehydrogenase,NA,NA,WP_012906725.1,similar to AA sequence:RefSeq:WP_003830107.1,1
NC_013716.1,ROD_RS12615,ROD_25501,protein_coding,frlA,NA,APC family permease,putative amino acid permease,NA,NA,WP_012906726.1,similar to AA sequence:RefSeq:WP_016160242.1,1
NC_013716.1,ROD_RS12620,ROD_25511,protein_coding,tyrA,NA,bifunctional chorismate mutase/prephenate dehydrogenase,prephenate dehydrogenase],NA,NA,WP_012906727.1,similar to AA sequence:RefSeq:NP_311490.1,1
NC_013716.1,ROD_RS12625,ROD_25521,protein_coding,aroF,NA,3-deoxy-7-phosphoheptulonate synthase AroF,"phospho-2-dehydro-3-deoxyheptonate aldolase,tyr-sensitive",NA,NA,WP_012906728.1,similar to AA sequence:RefSeq:WP_001168028.1,1
NC_013716.1,ROD_RS12630,ROD_25531,protein_coding,NA,NA,YfiR family protein,putative exported protein,NA,NA,WP_012906729.1,similar to AA sequence:RefSeq:WP_003826451.1,1
NC_013716.1,ROD_RS12635,ROD_25541,protein_coding,dgcN,NA,diguanylate cyclase DgcN,putative signal transduction protein,NA,NA,WP_012906730.1,similar to AA sequence:RefSeq:WP_003839838.1,1
NC_013716.1,ROD_RS12640,ROD_25551,protein_coding,NA,NA,OmpA family protein,outer membrane lipoprotein,NA,NA,WP_012906731.1,similar to AA sequence:RefSeq:NP_708453.1,1
NC_013716.1,ROD_RS12645,ROD_25561,protein_coding,rplS,NA,50S ribosomal protein L19,50S ribosomal subunit protein L19,NA,NA,WP_000065254.1,similar to AA sequence:RefSeq:WP_012768745.1,1
NC_013716.1,ROD_RS12650,ROD_25571,pseudogene,trmD,NA,tRNA (guanosine(37)-N1)-methyltransferase TrmD,tRNA (guanine-N(1)-)-methyltransferase,frameshifted,"pseudo true, pseudo true",NA,similar to AA sequence:RefSeq:NP_311497.1,1
NC_013716.1,ROD_RS12655,ROD_25581,protein_coding,rimM,NA,ribosome maturation factor RimM,16S rRNA processing protein,Essential for efficient processing of 16S rRNA,NA,WP_012906733.1,similar to AA sequence:RefSeq:WP_000043333.1,1
NC_013716.1,ROD_RS12660,ROD_25591,protein_coding,rps16,rpsP,30S ribosomal protein S16,30S ribosomal subunit protein S16,NA,NA,WP_012134698.1,similar to AA sequence:RefSeq:WP_000256453.1,1
NC_013716.1,ROD_RS12665,ROD_25601,protein_coding,ffh,NA,signal recognition particle protein,signal recognition particle protein,NA,NA,WP_012906735.1,similar to AA sequence:RefSeq:WP_005130432.1,1
NC_013716.1,ROD_RS12670,ROD_25611,protein_coding,corE,NA,inner membrane protein YpjD,putative magnesium transport protein,NA,NA,WP_012906736.1,similar to AA sequence:RefSeq:NP_461608.1,1
NC_013716.1,ROD_RS12675,ROD_25621,protein_coding,corB,NA,HlyC/CorC family transporter,putative magnesium transport protein,NA,NA,WP_043013906.1,similar to AA sequence:RefSeq:YP_026171.3,1
NC_013716.1,ROD_RS12680,ROD_25631,protein_coding,grpE,NA,nucleotide exchange factor GrpE,heat shock protein (heat shock protein B25.3),NA,NA,WP_012906738.1,similar to AA sequence:RefSeq:NP_461611.1,1
NC_013716.1,ROD_RS12685,ROD_25641,protein_coding,ppnK,nadK,NAD(+) kinase,probable inorganic polyphosphate/ATP NAD kinase,NA,NA,WP_012906739.1,similar to AA sequence:RefSeq:WP_020239499.1,1
NC_013716.1,ROD_RS12690,ROD_25651,protein_coding,recN,NA,DNA repair protein RecN,DNA repair protein,NA,NA,WP_012906740.1,similar to AA sequence:RefSeq:NP_461614.1,1
NC_013716.1,ROD_RS12695,ROD_25661,protein_coding,smpA,bamE,outer membrane protein assembly factor BamE,putative outer membrane assembly lipoprotein,NA,NA,WP_012906741.1,similar to AA sequence:RefSeq:WP_006687315.1,1
NC_013716.1,ROD_RS12700,ROD_25671,protein_coding,NA,NA,RnfH family protein,conserved hypothetical protein,NA,NA,WP_012906742.1,similar to AA sequence:RefSeq:NP_461616.1,1
NC_013716.1,ROD_RS12705,ROD_25681,protein_coding,yfjG,ratA,type II toxin-antitoxin system toxin RatA,Conserved Hypothetical protein,NA,NA,WP_024132782.1,similar to AA sequence:RefSeq:WP_015963348.1,1
NC_013716.1,ROD_RS12710,ROD_25691,protein_coding,smpB,NA,SsrA-binding protein SmpB,SsrA small binding protein B,NA,NA,WP_012906744.1,similar to AA sequence:RefSeq:NP_461618.1,1
NC_013716.1,ROD_RS28200,ROD_25701,protein_coding,NA,NA,Ig-like domain-containing protein,large repetitive protein,NA,NA,WP_012906745.1,protein motif:HMM:NF033510.3,1
NC_013716.1,ROD_RS12720,ROD_25711,protein_coding,NA,NA,TolC family outer membrane protein,putative outer membrane efflux protein of T1SS,NA,NA,WP_012906746.1,similar to AA sequence:RefSeq:WP_014832975.1,1
NC_013716.1,ROD_RS12725,ROD_25721,protein_coding,NA,NA,ATP-binding cassette domain-containing protein,putative ATP-binding protein of T1SS,NA,NA,WP_012906747.1,similar to AA sequence:RefSeq:WP_013098388.1,1
NC_013716.1,ROD_RS12730,ROD_25731,protein_coding,NA,NA,HlyD family efflux transporter periplasmic adaptor subunit,putative membrane fusion protein of T1SS,NA,NA,WP_012906748.1,similar to AA sequence:RefSeq:NP_461621.1,1
NC_013716.1,ROD_RS25720,NA,tmRNA,ssrA,NA,NA,NA,NA,NA,NA,NA,NA
NC_013716.1,ROD_RS12735,ROD_25751,protein_coding,NA,NA,DinI family protein,putative prophage damage-inducible protein,NA,NA,WP_012906749.1,similar to AA sequence:RefSeq:WP_001217536.1,1
NC_013716.1,ROD_RS12740,ROD_25752,protein_coding,NA,NA,type II toxin-antitoxin system HicA family toxin,hypothetical prophage protein,NA,NA,WP_012906750.1,similar to AA sequence:RefSeq:WP_012906750.1,1
NC_013716.1,ROD_RS12745,ROD_25761,protein_coding,NA,NA,type II toxin-antitoxin system HicB family antitoxin,hypothetical prophage protein,NA,NA,WP_012906751.1,similar to AA sequence:RefSeq:WP_012906751.1,1
NC_013716.1,ROD_RS12750,ROD_25771,protein_coding,NA,NA,serine acetyltransferase,hypothetical prophage protein,NA,NA,WP_012906752.1,similar to AA sequence:RefSeq:WP_000350439.1,1
NC_013716.1,ROD_RS12755,ROD_25781,protein_coding,tfa,NA,tail fiber assembly protein,putative phage tail fibre assembly protein,NA,NA,WP_012906753.1,similar to AA sequence:RefSeq:WP_016235231.1,1
NC_013716.1,ROD_RS12760,ROD_25791,pseudogene,NA,NA,tail fiber protein,putative phage tail fibre protein,incomplete,"partial true, pseudo true, partial in the middle of a contig, missing N-terminus, partial true, pseudo true",NA,similar to AA sequence:RefSeq:NP_416065.1,1
NC_013716.1,ROD_RS12765,ROD_25801,protein_coding,NA,NA,DUF2313 domain-containing protein,putative phage tail protein,NA,NA,WP_012906755.1,similar to AA sequence:RefSeq:WP_001515583.1,1
NC_013716.1,ROD_RS12770,ROD_25811,protein_coding,NA,NA,baseplate J/gp47 family protein,putative phage tail protein,NA,NA,WP_012906756.1,similar to AA sequence:RefSeq:WP_001116108.1,1
NC_013716.1,ROD_RS12775,ROD_25821,protein_coding,NA,NA,phage GP46 family protein,hypothetical prophage protein,NA,NA,WP_012906757.1,similar to AA sequence:RefSeq:WP_001280393.1,1
NC_013716.1,ROD_RS12780,ROD_25831,protein_coding,NA,NA,phage baseplate assembly protein,putative phage baseplate assembly protein,NA,NA,WP_012906758.1,similar to AA sequence:RefSeq:WP_004169552.1,1
NC_013716.1,ROD_RS12785,ROD_25841,protein_coding,NA,NA,tail protein,hypothetical prophage protein,NA,NA,WP_012906759.1,similar to AA sequence:RefSeq:WP_000990657.1,1
NC_013716.1,ROD_RS12790,ROD_25851,protein_coding,NA,NA,DNA circularization N-terminal domain-containing protein,putative phage DNA circularisation protein,NA,NA,WP_148222089.1,similar to AA sequence:RefSeq:WP_001139208.1,1
NC_013716.1,ROD_RS12795,ROD_25861,protein_coding,NA,NA,lytic transglycosylase domain-containing protein,hypothetical prophage protein,NA,NA,WP_012906761.1,similar to AA sequence:RefSeq:WP_000071363.1,1
NC_013716.1,ROD_RS12800,ROD_25881,protein_coding,NA,NA,phage tail assembly protein,hypothetical prophage protein,NA,NA,WP_012906763.1,similar to AA sequence:RefSeq:WP_000807719.1,1
NC_013716.1,ROD_RS12805,ROD_25891,protein_coding,NA,NA,phage tail tube protein,hypothetical prophage protein,NA,NA,WP_012906764.1,similar to AA sequence:RefSeq:WP_000896638.1,1
NC_013716.1,ROD_RS12810,ROD_25901,protein_coding,NA,NA,phage tail sheath subtilisin-like domain-containing protein,putative phage tail sheath protein,NA,NA,WP_012906765.1,similar to AA sequence:RefSeq:WP_001472192.1,1
NC_013716.1,ROD_RS26355,ROD_25911,protein_coding,NA,NA,DUF2635 domain-containing protein,hypothetical prophage protein,NA,NA,WP_012906766.1,similar to AA sequence:RefSeq:WP_009112625.1,1
NC_013716.1,ROD_RS12820,ROD_25921,protein_coding,NA,NA,hypothetical protein,hypothetical prophage protein,NA,NA,WP_012906767.1,similar to AA sequence:RefSeq:WP_001568792.1,1
NC_013716.1,ROD_RS12825,ROD_25931,protein_coding,NA,NA,hypothetical protein,hypothetical prophage protein,NA,NA,WP_012906768.1,similar to AA sequence:RefSeq:WP_000537794.1,1
NC_013716.1,ROD_RS12830,ROD_25941,protein_coding,NA,NA,hypothetical protein,hypothetical prophage protein,NA,NA,WP_012906769.1,similar to AA sequence:RefSeq:WP_016239513.1,1
NC_013716.1,ROD_RS12835,ROD_25951,protein_coding,NA,NA,major capsid protein,putative phage capsid protein,NA,NA,WP_012906770.1,similar to AA sequence:RefSeq:WP_006708309.1,1
NC_013716.1,ROD_RS12840,ROD_25961,protein_coding,NA,NA,head decoration protein,hypothetical prophage protein,NA,NA,WP_012906771.1,similar to AA sequence:RefSeq:WP_000371937.1,1
NC_013716.1,ROD_RS12845,ROD_25971,protein_coding,NA,NA,hypothetical protein,putative prophage exported protein,NA,NA,WP_012906772.1,similar to AA sequence:RefSeq:WP_001085197.1,1
NC_013716.1,ROD_RS12850,ROD_25981,protein_coding,NA,NA,S49 family peptidase,hypothetical prophage protein,NA,NA,WP_012906773.1,similar to AA sequence:RefSeq:WP_001052908.1,1
NC_013716.1,ROD_RS12855,ROD_25991,protein_coding,NA,NA,phage portal protein,putative phage portal protein,NA,NA,WP_012906774.1,similar to AA sequence:RefSeq:WP_001515590.1,1
NC_013716.1,ROD_RS12860,ROD_26001,protein_coding,NA,NA,phage head-tail adapter protein,putative phage head-to-tail joining protein,NA,NA,WP_012906775.1,similar to AA sequence:RefSeq:WP_012906775.1,1
NC_013716.1,ROD_RS12865,ROD_26011,protein_coding,NA,NA,phage terminase large subunit family protein,putative phage terminase large subunit,NA,NA,WP_012906776.1,similar to AA sequence:RefSeq:WP_004904849.1,1
NC_013716.1,ROD_RS12870,ROD_26021,protein_coding,NA,NA,hypothetical protein,putative prophage DNA binding protein,NA,NA,WP_012906777.1,similar to AA sequence:RefSeq:WP_004722889.1,1
NC_013716.1,ROD_RS12875,ROD_26031,protein_coding,NA,NA,hypothetical protein,hypothetical prophage protein,NA,NA,WP_012906778.1,similar to AA sequence:RefSeq:WP_001472183.1,1
NC_013716.1,ROD_RS12880,ROD_26041,protein_coding,NA,NA,hypothetical protein,hypothetical prophage protein,NA,NA,WP_012906779.1,ab initio prediction:GeneMarkS-2+,1
NC_013716.1,ROD_RS12885,ROD_26051,protein_coding,NA,NA,hypothetical protein,hypothetical prophage protein,NA,NA,WP_012906780.1,similar to AA sequence:RefSeq:WP_001533592.1,1
NC_013716.1,ROD_RS26360,ROD_26061,protein_coding,NA,NA,hypothetical protein,hypothetical prophage protein,NA,NA,WP_012906781.1,similar to AA sequence:RefSeq:WP_006120139.1,1
NC_013716.1,ROD_RS12895,ROD_26071,protein_coding,NA,NA,hypothetical protein,hypothetical prophage protein,NA,NA,WP_012906782.1,similar to AA sequence:RefSeq:WP_014071186.1,1
NC_013716.1,ROD_RS12900,ROD_26081,protein_coding,NA,NA,DUF2514 domain-containing protein,putative prophage exported protein,NA,NA,WP_012906783.1,similar to AA sequence:RefSeq:WP_001717416.1,1
NC_013716.1,ROD_RS12905,ROD_26091,protein_coding,NA,NA,hypothetical protein,hypothetical prophage protein,NA,NA,WP_012906784.1,similar to AA sequence:RefSeq:WP_004169539.1,1
NC_013716.1,ROD_RS12910,ROD_26101,protein_coding,NA,NA,phage holin family protein,putative phage holin,NA,NA,WP_012906785.1,similar to AA sequence:RefSeq:WP_016192905.1,1
NC_013716.1,ROD_RS12915,ROD_26111,protein_coding,dam,NA,site-specific DNA-methyltransferase,putative prophage DNA adenine methylase,NA,NA,WP_012906786.1,similar to AA sequence:RefSeq:WP_001515595.1,1
NC_013716.1,ROD_RS12920,ROD_26121,protein_coding,NA,NA,winged helix-turn-helix domain-containing protein,hypothetical prophage protein,NA,NA,WP_012906787.1,similar to AA sequence:RefSeq:WP_019077453.1,1
NC_013716.1,ROD_RS12925,ROD_26131,protein_coding,NA,NA,bacteriophage antitermination protein Q,putative phage antiterminator protein,NA,NA,WP_012906788.1,similar to AA sequence:RefSeq:WP_014544063.1,1
NC_013716.1,ROD_RS12930,ROD_26141,protein_coding,NA,NA,DUF968 domain-containing protein,hypothetical prophage protein,NA,NA,WP_012906789.1,similar to AA sequence:RefSeq:WP_020324472.1,1
NC_013716.1,ROD_RS12935,ROD_26151,protein_coding,dcm,NA,DNA cytosine methyltransferase,putative prophage DNA cytosine methylase,NA,NA,WP_012906790.1,similar to AA sequence:RefSeq:WP_003034738.1,1
NC_013716.1,ROD_RS12940,ROD_26161,protein_coding,dam,NA,phage N-6-adenine-methyltransferase,putative prophage DNA adenine methylase,NA,NA,WP_012906791.1,similar to AA sequence:RefSeq:WP_004122992.1,1
NC_013716.1,ROD_RS12945,ROD_26171,protein_coding,NA,NA,conserved phage C-terminal domain-containing protein,hypothetical prophage protein,NA,NA,WP_012906792.1,similar to AA sequence:RefSeq:WP_003826144.1,1
NC_013716.1,ROD_RS26365,ROD_26181,protein_coding,NA,NA,DUF4222 domain-containing protein,hypothetical prophage protein,NA,NA,WP_012906793.1,similar to AA sequence:RefSeq:WP_020324468.1,1
NC_013716.1,ROD_RS12950,ROD_26191,protein_coding,NA,NA,phage regulatory protein/antirepressor Ant,hypothetical prophage protein,NA,NA,WP_012906794.1,similar to AA sequence:RefSeq:WP_004122996.1,1
NC_013716.1,ROD_RS27555,NA,protein_coding,NA,NA,hypothetical protein,NA,NA,NA,WP_024132789.1,similar to AA sequence:RefSeq:WP_016191108.1,1
NC_013716.1,ROD_RS12955,ROD_26201,protein_coding,NA,NA,hypothetical protein,putative prophage DNA-binding protein,NA,NA,WP_012906795.1,similar to AA sequence:RefSeq:WP_007901034.1,1
NC_013716.1,ROD_RS12960,ROD_26202,protein_coding,NA,NA,helix-turn-helix transcriptional regulator,putative prophage DNA binding protein,NA,NA,WP_012906796.1,similar to AA sequence:RefSeq:WP_001191680.1,1
NC_013716.1,ROD_RS12965,ROD_26211,protein_coding,cI,NA,helix-turn-helix transcriptional regulator,putative phage repressor protein,NA,NA,WP_012906797.1,similar to AA sequence:RefSeq:WP_000690183.1,1
NC_013716.1,ROD_RS12970,ROD_26231,protein_coding,NA,NA,hypothetical protein,hypothetical prophage protein,NA,NA,WP_024132791.1,similar to AA sequence:RefSeq:WP_012668372.1,1
NC_013716.1,ROD_RS12975,ROD_26241,protein_coding,NA,NA,DUF2303 family protein,hypothetical prophage protein,NA,NA,WP_012906803.1,similar to AA sequence:RefSeq:WP_000080411.1,1
NC_013716.1,ROD_RS12980,ROD_26251,protein_coding,NA,NA,hypothetical protein,hypothetical prophage protein,NA,NA,WP_012906804.1,similar to AA sequence:RefSeq:WP_000008183.1,1
NC_013716.1,ROD_RS12985,ROD_26261,protein_coding,NA,NA,hypothetical protein,putative prophage exported protein,NA,NA,WP_012906805.1,similar to AA sequence:RefSeq:WP_016247400.1,1
NC_013716.1,ROD_RS12990,ROD_26271,protein_coding,NA,NA,hypothetical protein,hypothetical prophage protein,NA,NA,WP_012906806.1,similar to AA sequence:RefSeq:WP_014228543.1,1
NC_013716.1,ROD_RS12995,ROD_26281,protein_coding,NA,NA,site-specific DNA-methyltransferase,putative prophage DNA methylase,NA,NA,WP_012906807.1,similar to AA sequence:RefSeq:WP_000393314.1,1
NC_013716.1,ROD_RS13005,ROD_26301,pseudogene,NA,NA,3'-5' exoribonuclease,putative prophage exonuclease,frameshifted,"pseudo true, pseudo true",NA,similar to AA sequence:RefSeq:WP_015370153.1,1
NC_013716.1,ROD_RS26370,ROD_26302,protein_coding,NA,NA,hypothetical protein,hypothetical prophage protein,NA,NA,WP_012906810.1,similar to AA sequence:RefSeq:WP_012906810.1,1
NC_013716.1,ROD_RS13010,ROD_26311,protein_coding,NA,NA,site-specific integrase,putative phage integrase,NA,NA,WP_012906811.1,similar to AA sequence:RefSeq:WP_000531802.1,1
NC_013716.1,ROD_RS13015,ROD_26321,protein_coding,NA,NA,AAA family ATPase,hypothetical prophage protein,NA,NA,WP_231851561.1,similar to AA sequence:RefSeq:WP_001603287.1,1
NC_013716.1,ROD_RS13020,ROD_26331,protein_coding,dam,NA,DNA adenine methylase,putative prophage DNA adenine methylase,NA,NA,WP_012906813.1,similar to AA sequence:RefSeq:WP_012906813.1,1
NC_013716.1,ROD_RS13025,ROD_26351,pseudogene,NA,NA,integrase arm-type DNA-binding domain-containing protein,pseudogene,incomplete,"partial true, pseudo true, partial in the middle of a contig, missing C-terminus, partial true, pseudo true",NA,similar to AA sequence:RefSeq:NP_708468.1,1
NC_013716.1,ROD_RS13035,ROD_26371,protein_coding,NA,NA,IS3 family transposase,ISEc14 transposase B,programmed frameshift,"ribosomal slippage, ribosomal slippage",WP_217968131.1,similar to AA sequence:RefSeq:WP_076611384.1,2
NC_013716.1,ROD_RS13040,ROD_26381,pseudogene,NA,NA,IS3 family transposase,IS3 family transposase B,incomplete,"partial true, pseudo true, partial in the middle of a contig, missing N-terminus, partial true, pseudo true",NA,similar to AA sequence:RefSeq:WP_076611657.1,1
NC_013716.1,ROD_RS13045,ROD_26391,pseudogene,NA,NA,transposase,pseudogene,incomplete,"partial true, pseudo true, partial in the middle of a contig, missing C-terminus, partial true, pseudo true",NA,similar to AA sequence:RefSeq:WP_076611920.1,1
NC_013716.1,ROD_RS13050,ROD_26401,protein_coding,lifA,NA,DUF3491 domain-containing protein,lymphocyte inhibitory factor A,NA,NA,WP_012906815.1,similar to AA sequence:RefSeq:WP_001239084.1,1
NC_013716.1,ROD_RS13055,ROD_26411,protein_coding,NA,NA,IS66-like element ISCro1 family transposase,ISCro1 transposase C,NA,NA,WP_012904571.1,similar to AA sequence:RefSeq:WP_012904571.1,1
NC_013716.1,ROD_RS13060,ROD_26421,protein_coding,tnpB,NA,IS66 family insertion sequence element accessory protein TnpB,ISCro1 transposase B,"TnpB, as the term is used for proteins encoded by IS66 family insertion elements, is considered an accessory protein, since TnpC, encoded by a neighboring gene, is a DDE family transposase.",NA,WP_012904570.1,similar to AA sequence:RefSeq:NP_858152.1,1
NC_013716.1,ROD_RS13065,ROD_26441,protein_coding,tnpA,NA,IS66-like element accessory protein TnpA,ISCro1 transposase A,NA,NA,WP_012904569.1,similar to AA sequence:RefSeq:WP_001743492.1,1
NC_013716.1,ROD_RS13070,ROD_26451,protein_coding,tnpA,NA,IS66-like element accessory protein TnpA,ISCro1 transposase A,NA,NA,WP_012904569.1,similar to AA sequence:RefSeq:WP_001743492.1,1
NC_013716.1,ROD_RS13075,ROD_26461,protein_coding,tnpB,NA,IS66 family insertion sequence element accessory protein TnpB,ISCro1 transposase B,"TnpB, as the term is used for proteins encoded by IS66 family insertion elements, is considered an accessory protein, since TnpC, encoded by a neighboring gene, is a DDE family transposase.",NA,WP_012904570.1,similar to AA sequence:RefSeq:NP_858152.1,1
NC_013716.1,ROD_RS13080,ROD_26481,protein_coding,NA,NA,IS66-like element ISCro1 family transposase,ISCro1 transposase C,NA,NA,WP_012904571.1,similar to AA sequence:RefSeq:WP_012904571.1,1
NC_013716.1,ROD_RS28215,ROD_26491,pseudogene,NA,NA,DUF6531 domain-containing protein,pseudogene,frameshifted,"pseudo true, internal stop, pseudo true",NA,similar to AA sequence:RefSeq:WP_000014626.1,1
NC_013716.1,ROD_RS13095,ROD_26511,protein_coding,glpQ,NA,glycerophosphodiester phosphodiesterase,glycerophosphoryl diester phosphodiesterase,NA,NA,WP_012906816.1,similar to AA sequence:RefSeq:WP_019077270.1,1
NC_013716.1,ROD_RS13100,ROD_26521,protein_coding,glpT,NA,glycerol-3-phosphate transporter,glycerol-3-phosphate transporter,NA,NA,WP_012906817.1,similar to AA sequence:RefSeq:NP_461225.1,1
NC_013716.1,ROD_RS13105,ROD_26531,protein_coding,glpA,NA,anaerobic glycerol-3-phosphate dehydrogenase subunit A,anaerobic glycerol-3-phosphate dehydrogenase subunit A,NA,NA,WP_012906818.1,similar to AA sequence:RefSeq:NP_461226.1,1
NC_013716.1,ROD_RS13110,ROD_26541,protein_coding,glpB,NA,glycerol-3-phosphate dehydrogenase subunit GlpB,anaerobic glycerol-3-phosphate dehydrogenase subunit B,NA,NA,WP_012906819.1,similar to AA sequence:RefSeq:NP_461227.1,1
NC_013716.1,ROD_RS13115,ROD_26551,protein_coding,glpC,NA,anaerobic glycerol-3-phosphate dehydrogenase subunit C,anaerobic glycerol-3-phosphate dehydrogenase subunit C,NA,NA,WP_012906820.1,similar to AA sequence:RefSeq:NP_461228.1,1
NC_013716.1,ROD_RS13120,ROD_26571,protein_coding,NA,NA,Rpn family recombination-promoting nuclease/putative transposase,putative transposase,NA,NA,WP_012906821.1,similar to AA sequence:RefSeq:WP_000156149.1,1
NC_013716.1,ROD_RS13125,ROD_26581,protein_coding,yfaU,NA,2-keto-3-deoxy-L-rhamnonate aldolase,putative carbon-carbon lyase,NA,NA,WP_012906822.1,similar to AA sequence:RefSeq:NP_461231.1,1
NC_013716.1,ROD_RS13130,ROD_26591,protein_coding,NA,NA,MFS transporter,major facilitator superfamily protein,NA,NA,WP_012906823.1,similar to AA sequence:RefSeq:NP_416749.4,1
NC_013716.1,ROD_RS13135,ROD_26601,protein_coding,rhmD,NA,L-rhamnonate dehydratase,putative MR-MLE-family protein,NA,NA,WP_024132801.1,similar to AA sequence:RefSeq:NP_416750.2,1
NC_013716.1,ROD_RS13140,ROD_26611,protein_coding,NA,NA,IclR family transcriptional regulator,putative transcriptional regulator,NA,NA,WP_012906825.1,similar to AA sequence:RefSeq:NP_461234.1,1
NC_013716.1,ROD_RS13145,ROD_26621,protein_coding,NA,NA,nicotinamide mononucleotide deamidase-related protein YfaY,putative molybdopterin-binding protein,NA,NA,WP_012906826.1,similar to AA sequence:RefSeq:WP_012131514.1,1
NC_013716.1,ROD_RS13150,ROD_26631,protein_coding,NA,NA,YfaZ family protein,putative exported protein,NA,NA,WP_012906827.1,similar to AA sequence:RefSeq:NP_311165.2,1
NC_013716.1,ROD_RS13155,ROD_26651,protein_coding,nudI,NA,nucleoside triphosphatase NudI,NUDIX-family hydrolase,NA,NA,WP_012906829.1,similar to AA sequence:RefSeq:NP_311166.1,1
NC_013716.1,ROD_RS13160,ROD_26661,protein_coding,ais,NA,histidine phosphatase family protein,putative aluminum inducible exported protein,NA,NA,WP_012906830.1,similar to AA sequence:RefSeq:WP_020236739.1,1
NC_013716.1,ROD_RS13165,ROD_26671,protein_coding,menE,NA,o-succinylbenzoate--CoA ligase,2-succinylbenzoate--CoA ligase,NA,NA,WP_012906831.1,similar to AA sequence:RefSeq:WP_000577608.1,1
NC_013716.1,ROD_RS13170,ROD_26681,protein_coding,menC,NA,o-succinylbenzoate synthase,O-succinylbenzoate synthase,NA,NA,WP_012906832.1,similar to AA sequence:RefSeq:NP_461248.1,1
NC_013716.1,ROD_RS13175,ROD_26691,protein_coding,menB,NA,"1,4-dihydroxy-2-naphthoyl-CoA synthase",naphthoate synthase,NA,NA,WP_012906833.1,similar to AA sequence:RefSeq:WP_001641973.1,1
NC_013716.1,ROD_RS13180,ROD_26701,protein_coding,menH,NA,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase",acyl-CoA thioester hydrolase,NA,NA,WP_012906834.1,similar to AA sequence:RefSeq:NP_461250.1,1
NC_013716.1,ROD_RS13185,ROD_26711,protein_coding,menD,NA,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase,2-oxoglutarate decarboxylase],NA,NA,WP_012906835.1,similar to AA sequence:RefSeq:NP_461251.1,1
NC_013716.1,ROD_RS13190,ROD_26721,protein_coding,menF,NA,isochorismate synthase MenF,menaquinone-specific isochorismate synthase,NA,NA,WP_012906836.1,similar to AA sequence:RefSeq:WP_003834729.1,1
NC_013716.1,ROD_RS13195,ROD_26731,protein_coding,elaB,NA,stress response protein ElaB,putative membrane protein,NA,NA,WP_012906837.1,similar to AA sequence:RefSeq:NP_311181.1,1
NC_013716.1,ROD_RS13200,ROD_26741,protein_coding,NA,NA,GNAT family N-acetyltransferase,putative acetyltransferase,NA,NA,WP_012906838.1,similar to AA sequence:RefSeq:NP_416770.1,1
NC_013716.1,ROD_RS13205,ROD_26751,pseudogene,rnz,rbn,ribonuclease BN,pseudogene,internal stop,"pseudo true, pseudo true",NA,similar to AA sequence:RefSeq:NP_461255.1,1
